subName,problemName,start,end,duration,ob,subProb,problemNum,obNew,totalObjects,startn,durationn,endn,Event
Dami,Triangle,232923,233543,620,1,Dami-Triangle,NA,1,23,0.27257758741749755,7.2555352712634e-4,0.2733031409446239,attention
Dami,Triangle,241923,242153,230,13,Dami-Triangle,NA,7,23,0.28310981603707347,2.691569536113842e-4,0.2833789729906848,attention
Dami,Triangle,242188,242768,580,17,Dami-Triangle,NA,11,23,0.28341993165753876,6.78743622150447e-4,0.2840986752796892,attention
Dami,Triangle,242788,243168,380,18,Dami-Triangle,NA,12,23,0.2841220802321771,4.4469409727098254e-4,0.2845667743294481,attention
Dami,Triangle,243198,243458,260,13,Dami-Triangle,NA,7,23,0.28460188175818,3.042643823433038e-4,0.28490614614052334,attention
Dami,Triangle,243468,243688,220,18,Dami-Triangle,NA,12,23,0.28491784861676733,2.5745447736741096e-4,0.28517530309413475,attention
Dami,Triangle,243708,250288,6580,20,Dami-Triangle,NA,14,23,0.2851987080466227,0.007700229368534382,0.29289893741515705,attention
Dami,Triangle,250148,253238,3090,19,Dami-Triangle,NA,13,23,0.29273510274774145,0.0036160651593877264,0.2963511679071292,attention
Dami,Triangle,253223,255043,1820,20,Dami-Triangle,NA,14,23,0.29633361419276316,0.002129850676403127,0.2984634648691663,attention
Dami,Triangle,255053,260803,5750,18,Dami-Triangle,NA,12,23,0.2984751673454103,0.006728923840284604,0.3052040911856949,attention
Dami,Triangle,260838,268308,7470,17,Dami-Triangle,NA,11,23,0.3052450498525488,0.008741749754248,0.3139867996067968,attention
Dami,Triangle,268323,269063,740,16,Dami-Triangle,NA,10,23,0.3140043533211628,8.659832420540186e-4,0.3148703365632168,attention
Dami,Triangle,269073,272973,3900,1,Dami-Triangle,NA,1,23,0.31488203903946077,0.004563965735149557,0.3194460047746103,attention
Dami,Triangle,272993,273363,370,16,Dami-Triangle,NA,10,23,0.31946940972709825,4.329916210270093e-4,0.31990240134812525,attention
Dami,Triangle,273388,275938,2550,17,Dami-Triangle,NA,11,23,0.3199316575387352,0.0029841314422131724,0.32291578898094836,attention
Dami,Triangle,275943,276923,980,13,Dami-Triangle,NA,7,23,0.3229216402190704,0.001146842671909376,0.3240684828909797,attention
Dami,Triangle,276953,277673,720,2,Dami-Triangle,NA,2,23,0.32410359031971164,8.425782895660722e-4,0.3249461686092777,attention
Dami,Triangle,277723,282203,4480,17,Dami-Triangle,NA,11,23,0.32500468099049756,0.005242709357300005,0.3302473903477976,attention
Dami,Triangle,282213,286023,3810,1,Dami-Triangle,NA,1,23,0.3302590928240416,0.004458643448953799,0.3347177362729954,attention
Dami,Triangle,286048,287078,1030,17,Dami-Triangle,NA,11,23,0.3347469924636053,0.001205355053129242,0.33595234751673453,attention
Dami,Triangle,287103,289623,2520,1,Dami-Triangle,NA,1,23,0.3359816037073445,0.0029490240134812527,0.3389306277208257,attention
Dami,Triangle,289653,298833,9180,17,Dami-Triangle,NA,11,23,0.33896573514955763,0.010742873191967421,0.34970860834152506,attention
Dami,Triangle,291853,292723,870,1,Dami-Triangle,NA,1,23,0.34154027992323177,0.0010181154332256706,0.34255839535645743,attention
Dami,Triangle,294078,294358,280,1,Dami-Triangle,NA,1,23,0.3441440808875158,3.276693348312503e-4,0.34447175022234705,attention
Dami,Triangle,298868,300108,1240,1,Dami-Triangle,NA,1,23,0.34974956700837895,0.00145110705425268,0.35120067406263167,attention
Dami,Triangle,300128,302988,2860,17,Dami-Triangle,NA,11,23,0.3512240790151196,0.003346908205776342,0.3545709872208959,attention
Dami,Triangle,303018,309158,6140,1,Dami-Triangle,NA,1,23,0.35460609464962783,0.00718532041379956,0.36179141506342744,attention
